NR;Geschlecht;Alter;Nielsen;Bundesland;Arbeitsstatus;Kinder im Haushalt (<18);Haushaltsgröße;Haushaltsnettoeinkommen;Familienstand;Berufs- / Akademische Bildung;Schulbildung;Urban (>100k Einw.);Land;1. Welche der folgenden Getränke trinkst Du zumindest gelegentlich?:Saft;1. Welche der folgenden Getränke trinkst Du zumindest gelegentlich?:Kaffee;1. Welche der folgenden Getränke trinkst Du zumindest gelegentlich?:Milch;1. Welche der folgenden Getränke trinkst Du zumindest gelegentlich?:Vegane Milch;1. Welche der folgenden Getränke trinkst Du zumindest gelegentlich?:Cola;1. Welche der folgenden Getränke trinkst Du zumindest gelegentlich?:Eistee;1. Welche der folgenden Getränke trinkst Du zumindest gelegentlich?:Tee;1. Welche der folgenden Getränke trinkst Du zumindest gelegentlich?:Nichts davon;2. Wie häufig trinkst Du Saft?;3. Welche der folgenden Saftgeschmacksrichtungen würdest du wahrscheinlich oder sehr wahrscheinlich kaufen?:Apfel;3. Welche der folgenden Saftgeschmacksrichtungen würdest du wahrscheinlich oder sehr wahrscheinlich kaufen?:Karotte;3. Welche der folgenden Saftgeschmacksrichtungen würdest du wahrscheinlich oder sehr wahrscheinlich kaufen?:Mango;3. Welche der folgenden Saftgeschmacksrichtungen würdest du wahrscheinlich oder sehr wahrscheinlich kaufen?:Pfirsich;3. Welche der folgenden Saftgeschmacksrichtungen würdest du wahrscheinlich oder sehr wahrscheinlich kaufen?:Kirsche;3. Welche der folgenden Saftgeschmacksrichtungen würdest du wahrscheinlich oder sehr wahrscheinlich kaufen?:Kirsch-Banane;3. Welche der folgenden Saftgeschmacksrichtungen würdest du wahrscheinlich oder sehr wahrscheinlich kaufen?:Schwarze Johannisbeere;3. Welche der folgenden Saftgeschmacksrichtungen würdest du wahrscheinlich oder sehr wahrscheinlich kaufen?:Orange;3. Welche der folgenden Saftgeschmacksrichtungen würdest du wahrscheinlich oder sehr wahrscheinlich kaufen?:Passionsfrucht;3. Welche der folgenden Saftgeschmacksrichtungen würdest du wahrscheinlich oder sehr wahrscheinlich kaufen?:Rhabarber;3. Welche der folgenden Saftgeschmacksrichtungen würdest du wahrscheinlich oder sehr wahrscheinlich kaufen?:Keine davon
733;f;47;1;Niedersachsen;Erwerbstätig;Keine Kinder (<18) im Haushalt;2 Personen;4000€ bis 5000€;Verheiratet / eingetragene Partnerschaft;Universitärer Abschluss;Abitur / Fachabitur;1;DEU;0;1;0;1;0;0;1;0;-;-;-;-;-;-;-;-;-;-;-;-
734;m;32;6;Brandenburg;Erwerbstätig;Keine Kinder (<18) im Haushalt;4 Personen;>5000€;Single / Ledig;Universitärer Abschluss;Abitur / Fachabitur;0;DEU;0;0;0;0;0;0;1;0;-;-;-;-;-;-;-;-;-;-;-;-
735;f;63;2;Nordrhein-Westfalen;Erwerbstätig;Keine Kinder (<18) im Haushalt;2 Personen;1000€ bis 2000€;Single / Ledig;Lehre / Ausbilung;Abitur / Fachabitur;1;DEU;1;1;1;0;0;0;1;0;Seltener;-;-;-;-;-;-;-;-;-;-;-
736;f;41;2;Nordrhein-Westfalen;Nicht erwerbstätig;Min. ein Kind (<18) im Haushalt;4 Personen;<1000€;Verheiratet / eingetragene Partnerschaft;(Noch) kein Abschluss;Hauptschulabschluss;0;DEU;1;1;1;0;1;0;1;0;Ein Mal pro Woche;1;0;1;0;0;0;0;0;1;0;0
737;m;24;2;Nordrhein-Westfalen;SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling);Keine Kinder (<18) im Haushalt;1 Person;<1000€;In einer Beziehung;Lehre / Ausbilung;Abitur / Fachabitur;0;DEU;1;0;0;0;1;1;0;0;Alle 2-3 Tage;1;0;0;1;1;1;1;1;0;0;0
738;f;25;7;Thueringen;Erwerbstätig;Keine Kinder (<18) im Haushalt;3 Personen;3000€ bis 4000€;Single / Ledig;Lehre / Ausbilung;Abitur / Fachabitur;0;DEU;1;0;1;0;0;1;1;0;Ein Mal pro Woche;1;0;1;1;1;1;0;1;0;0;0
739;f;33;3b;Baden-Wuerttemberg;Nicht erwerbstätig;Keine Kinder (<18) im Haushalt;2 Personen;<1000€;Single / Ledig;(Noch) kein Abschluss;Hauptschulabschluss;1;DEU;1;0;0;0;0;0;0;0;Mehrmals am Tag;0;0;0;1;0;0;0;0;0;0;0
740;m;23;2;Nordrhein-Westfalen;Erwerbstätig;Keine Kinder (<18) im Haushalt;Mehr als 4 Personen;>5000€;In einer Beziehung;Lehre / Ausbilung;Realschulabschluss;0;DEU;1;1;0;0;1;1;1;0;Ein Mal pro Woche;0;0;0;1;1;1;1;1;1;0;0
741;f;61;6;Brandenburg;in Rente;Keine Kinder (<18) im Haushalt;3 Personen;3000€ bis 4000€;In einer Beziehung;Lehre / Ausbilung;Abitur / Fachabitur;0;DEU;1;1;1;0;0;1;1;0;Seltener;-;-;-;-;-;-;-;-;-;-;-
742;f;50;2;Nordrhein-Westfalen;Erwerbstätig;Keine Kinder (<18) im Haushalt;2 Personen;3000€ bis 4000€;Verheiratet / eingetragene Partnerschaft;Lehre / Ausbilung;Abitur / Fachabitur;0;DEU;0;1;0;0;1;0;1;0;-;-;-;-;-;-;-;-;-;-;-;-
743;m;53;7;Thueringen;Erwerbstätig;Keine Kinder (<18) im Haushalt;2 Personen;1000€ bis 2000€;In einer Beziehung;Lehre / Ausbilung;Abitur / Fachabitur;0;DEU;0;0;1;0;1;0;0;0;-;-;-;-;-;-;-;-;-;-;-;-
744;f;38;3a;Hessen;Nicht erwerbstätig;Min. ein Kind (<18) im Haushalt;4 Personen;2000€ bis 3000€;Verheiratet / eingetragene Partnerschaft;Universitärer Abschluss;Realschulabschluss;0;DEU;1;1;0;1;1;1;1;0;Ein Mal pro Woche;1;1;0;1;0;0;0;1;1;0;0
745;m;60;1;Hamburg;Erwerbstätig;Keine Kinder (<18) im Haushalt;2 Personen;4000€ bis 5000€;Verheiratet / eingetragene Partnerschaft;Universitärer Abschluss;Abitur / Fachabitur;1;DEU;1;1;1;0;1;0;1;0;Ein Mal pro Woche;1;0;0;0;1;0;0;0;1;0;0
746;f;56;2;Nordrhein-Westfalen;Erwerbstätig;Keine Kinder (<18) im Haushalt;2 Personen;1000€ bis 2000€;In einer Beziehung;Lehre / Ausbilung;Hauptschulabschluss;0;DEU;0;1;1;0;1;0;1;0;-;-;-;-;-;-;-;-;-;-;-;-
747;m;25;1;Schleswig-Holstein;SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling);Keine Kinder (<18) im Haushalt;3 Personen;4000€ bis 5000€;Single / Ledig;(Noch) kein Abschluss;Abitur / Fachabitur;0;DEU;1;0;0;1;1;0;0;0;Seltener;-;-;-;-;-;-;-;-;-;-;-
748;f;46;7;Sachsen;Erwerbstätig;Keine Kinder (<18) im Haushalt;2 Personen;2000€ bis 3000€;In einer Beziehung;Lehre / Ausbilung;Realschulabschluss;0;DEU;1;1;1;0;1;1;1;0;Alle 2-3 Tage;1;1;1;1;1;1;1;1;1;1;0
749;m;29;1;Hamburg;Erwerbstätig;Keine Kinder (<18) im Haushalt;1 Person;<1000€;Single / Ledig;Lehre / Ausbilung;Realschulabschluss;1;DEU;1;1;1;0;1;1;1;0;Mehrmals am Tag;1;1;0;0;0;1;1;0;1;0;0
750;m;25;4;Bayern;Erwerbstätig;Keine Kinder (<18) im Haushalt;2 Personen;2000€ bis 3000€;In einer Beziehung;Universitärer Abschluss;Abitur / Fachabitur;0;DEU;1;1;0;0;1;0;1;0;Alle 2-3 Wochen;1;0;1;0;0;0;0;1;0;0;0
751;m;48;1;Niedersachsen;Erwerbstätig;Min. ein Kind (<18) im Haushalt;3 Personen;3000€ bis 4000€;In einer Beziehung;Lehre / Ausbilung;Realschulabschluss;0;DEU;1;1;1;0;1;0;0;0;Ein Mal am Tag;0;0;0;1;1;1;0;1;0;0;0
752;m;39;4;Bayern;in Rente;Keine Kinder (<18) im Haushalt;1 Person;<1000€;Single / Ledig;Lehre / Ausbilung;Abitur / Fachabitur;1;DEU;1;1;0;0;1;1;0;0;Mehrmals am Tag;0;0;1;0;0;0;0;1;1;0;0
753;f;55;2;Nordrhein-Westfalen;Erwerbstätig;Keine Kinder (<18) im Haushalt;1 Person;<1000€;Single / Ledig;Universitärer Abschluss;Abitur / Fachabitur;1;DEU;1;1;1;1;1;1;1;0;Ein Mal am Tag;1;0;0;1;1;1;1;1;0;1;0
754;m;37;6;Mecklenburg-Vorpommern;Erwerbstätig;Min. ein Kind (<18) im Haushalt;3 Personen;1000€ bis 2000€;In einer Beziehung;(Noch) kein Abschluss;Hauptschulabschluss;0;DEU;1;1;1;0;1;1;1;0;Alle 2-3 Tage;1;0;0;1;0;1;0;0;0;0;0
755;m;37;2;Nordrhein-Westfalen;Nicht erwerbstätig;Keine Kinder (<18) im Haushalt;1 Person;<1000€;Single / Ledig;(Noch) kein Abschluss;Ohne Abschluss;1;DEU;0;0;0;0;1;0;1;0;-;-;-;-;-;-;-;-;-;-;-;-
756;f;23;4;Bayern;Nicht erwerbstätig;Keine Kinder (<18) im Haushalt;3 Personen;>5000€;Single / Ledig;Lehre / Ausbilung;Hauptschulabschluss;0;DEU;1;1;1;1;1;1;1;0;Ein Mal am Tag;1;0;1;1;1;1;0;1;1;1;0
757;m;27;3a;Hessen;SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling);Keine Kinder (<18) im Haushalt;2 Personen;1000€ bis 2000€;Verheiratet / eingetragene Partnerschaft;Universitärer Abschluss;Abitur / Fachabitur;0;DEU;1;0;1;1;1;1;1;0;Ein Mal am Tag;1;1;0;0;1;0;1;1;0;0;0
758;f;63;2;Nordrhein-Westfalen;Nicht erwerbstätig;Keine Kinder (<18) im Haushalt;2 Personen;3000€ bis 4000€;Verheiratet / eingetragene Partnerschaft;Universitärer Abschluss;Abitur / Fachabitur;0;DEU;1;1;1;0;1;0;1;0;Mehrmals am Tag;0;0;0;0;0;0;1;1;0;0;0
759;m;47;3a;Saarland;Nicht erwerbstätig;Keine Kinder (<18) im Haushalt;1 Person;<1000€;Single / Ledig;(Noch) kein Abschluss;Realschulabschluss;0;DEU;1;0;1;0;1;1;1;0;Ein Mal am Tag;0;1;1;0;1;0;0;0;0;0;0
760;f;22;2;Nordrhein-Westfalen;Erwerbstätig;Keine Kinder (<18) im Haushalt;2 Personen;1000€ bis 2000€;In einer Beziehung;Lehre / Ausbilung;Abitur / Fachabitur;0;DEU;0;1;0;0;1;0;0;0;-;-;-;-;-;-;-;-;-;-;-;-
761;f;39;4;Bayern;Erwerbstätig;Min. ein Kind (<18) im Haushalt;2 Personen;1000€ bis 2000€;In einer Beziehung;Lehre / Ausbilung;Realschulabschluss;0;DEU;1;1;1;0;1;1;1;0;Alle 2-3 Tage;1;0;1;1;1;1;1;1;1;0;0
762;m;20;5;Berlin;Sonstige;Keine Kinder (<18) im Haushalt;1 Person;<1000€;Single / Ledig;(Noch) kein Abschluss;Hauptschulabschluss;1;DEU;0;0;0;0;1;0;0;0;-;-;-;-;-;-;-;-;-;-;-;-
763;m;36;6;Mecklenburg-Vorpommern;Erwerbstätig;Keine Kinder (<18) im Haushalt;2 Personen;3000€ bis 4000€;In einer Beziehung;Lehre / Ausbilung;Realschulabschluss;0;DEU;1;1;1;0;1;1;1;0;Alle 2-3 Tage;1;0;1;1;1;1;0;1;1;1;0
764;f;49;1;Niedersachsen;Erwerbstätig;Keine Kinder (<18) im Haushalt;1 Person;1000€ bis 2000€;Single / Ledig;Lehre / Ausbilung;Realschulabschluss;1;DEU;0;1;0;1;0;0;1;0;-;-;-;-;-;-;-;-;-;-;-;-
765;f;36;2;Nordrhein-Westfalen;Nicht erwerbstätig;Min. ein Kind (<18) im Haushalt;Mehr als 4 Personen;3000€ bis 4000€;Verheiratet / eingetragene Partnerschaft;Universitärer Abschluss;Abitur / Fachabitur;0;DEU;1;1;1;0;1;1;1;0;Alle 2-3 Wochen;1;0;1;1;1;1;0;1;0;0;0
766;f;35;4;Bayern;Erwerbstätig;Min. ein Kind (<18) im Haushalt;3 Personen;3000€ bis 4000€;Verheiratet / eingetragene Partnerschaft;Universitärer Abschluss;Realschulabschluss;0;DEU;1;0;0;0;1;0;0;0;Mehrmals am Tag;1;0;1;1;0;0;0;0;0;0;0
767;m;51;6;Sachsen-Anhalt;Sonstige;Min. ein Kind (<18) im Haushalt;3 Personen;2000€ bis 3000€;Verheiratet / eingetragene Partnerschaft;Lehre / Ausbilung;Realschulabschluss;0;DEU;0;1;1;0;1;0;0;0;-;-;-;-;-;-;-;-;-;-;-;-
768;f;27;5;Berlin;SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling);Keine Kinder (<18) im Haushalt;2 Personen;<1000€;Single / Ledig;(Noch) kein Abschluss;Abitur / Fachabitur;1;DEU;1;0;0;0;0;1;1;0;Seltener;-;-;-;-;-;-;-;-;-;-;-
769;f;64;6;Sachsen-Anhalt;in Rente;Keine Kinder (<18) im Haushalt;2 Personen;1000€ bis 2000€;Verheiratet / eingetragene Partnerschaft;Lehre / Ausbilung;Realschulabschluss;0;DEU;1;1;0;0;1;0;0;0;Mehrmals am Tag;1;0;0;0;1;0;1;0;0;0;0
770;m;41;2;Nordrhein-Westfalen;Erwerbstätig;Keine Kinder (<18) im Haushalt;1 Person;1000€ bis 2000€;Single / Ledig;Lehre / Ausbilung;Hauptschulabschluss;1;DEU;0;1;1;0;1;1;0;0;-;-;-;-;-;-;-;-;-;-;-;-
771;m;37;2;Nordrhein-Westfalen;Erwerbstätig;Keine Kinder (<18) im Haushalt;1 Person;1000€ bis 2000€;In einer Beziehung;Lehre / Ausbilung;Abitur / Fachabitur;0;DEU;1;1;1;0;1;1;0;0;Alle 2-3 Wochen;1;0;0;0;1;1;1;1;0;1;0
772;f;18;7;Sachsen;SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling);Min. ein Kind (<18) im Haushalt;2 Personen;1000€ bis 2000€;In einer Beziehung;Lehre / Ausbilung;Abitur / Fachabitur;0;DEU;1;1;1;1;1;1;1;0;Ein Mal am Tag;0;0;0;0;0;0;0;1;0;0;0
773;m;59;2;Nordrhein-Westfalen;in Rente;Min. ein Kind (<18) im Haushalt;2 Personen;2000€ bis 3000€;Verheiratet / eingetragene Partnerschaft;Lehre / Ausbilung;Realschulabschluss;0;DEU;0;1;0;0;0;0;1;0;-;-;-;-;-;-;-;-;-;-;-;-
774;f;37;2;Nordrhein-Westfalen;Erwerbstätig;Min. ein Kind (<18) im Haushalt;Mehr als 4 Personen;4000€ bis 5000€;Verheiratet / eingetragene Partnerschaft;Universitärer Abschluss;Abitur / Fachabitur;1;DEU;0;1;1;0;1;0;1;0;-;-;-;-;-;-;-;-;-;-;-;-
775;m;47;2;Nordrhein-Westfalen;Erwerbstätig;Min. ein Kind (<18) im Haushalt;4 Personen;2000€ bis 3000€;Verheiratet / eingetragene Partnerschaft;Lehre / Ausbilung;Realschulabschluss;1;DEU;0;0;0;0;1;0;0;0;-;-;-;-;-;-;-;-;-;-;-;-
776;f;30;2;Nordrhein-Westfalen;Erwerbstätig;Keine Kinder (<18) im Haushalt;1 Person;1000€ bis 2000€;Single / Ledig;Universitärer Abschluss;Abitur / Fachabitur;1;DEU;0;1;1;0;1;1;1;0;-;-;-;-;-;-;-;-;-;-;-;-
777;f;26;1;Niedersachsen;Nicht erwerbstätig;Keine Kinder (<18) im Haushalt;2 Personen;2000€ bis 3000€;Verheiratet / eingetragene Partnerschaft;(Noch) kein Abschluss;Abitur / Fachabitur;0;DEU;1;1;0;0;1;1;1;0;Mehrmals am Tag;1;0;0;1;1;1;1;1;0;1;0
778;m;54;3b;Baden-Wuerttemberg;Erwerbstätig;Keine Kinder (<18) im Haushalt;2 Personen;<1000€;Verheiratet / eingetragene Partnerschaft;Lehre / Ausbilung;Realschulabschluss;0;DEU;1;1;1;0;1;1;1;0;Seltener;-;-;-;-;-;-;-;-;-;-;-
779;m;61;1;Niedersachsen;Erwerbstätig;Keine Kinder (<18) im Haushalt;3 Personen;2000€ bis 3000€;Verheiratet / eingetragene Partnerschaft;Lehre / Ausbilung;Realschulabschluss;0;DEU;1;1;0;0;1;1;0;0;Seltener;-;-;-;-;-;-;-;-;-;-;-
780;m;43;1;Niedersachsen;Erwerbstätig;Min. ein Kind (<18) im Haushalt;Mehr als 4 Personen;4000€ bis 5000€;Verheiratet / eingetragene Partnerschaft;(Noch) kein Abschluss;Realschulabschluss;0;DEU;0;1;0;0;0;0;1;0;-;-;-;-;-;-;-;-;-;-;-;-
781;m;16;4;Bayern;SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling);Keine Kinder (<18) im Haushalt;Mehr als 4 Personen;<1000€;Single / Ledig;(Noch) kein Abschluss;Ohne Abschluss;0;DEU;0;1;1;0;0;1;0;0;-;-;-;-;-;-;-;-;-;-;-;-
782;f;16;4;Bayern;SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling);Min. ein Kind (<18) im Haushalt;2 Personen;<1000€;In einer Beziehung;(Noch) kein Abschluss;Hauptschulabschluss;1;DEU;1;0;0;1;1;0;0;0;Seltener;-;-;-;-;-;-;-;-;-;-;-
783;m;45;6;Sachsen-Anhalt;Erwerbstätig;Keine Kinder (<18) im Haushalt;2 Personen;2000€ bis 3000€;In einer Beziehung;Lehre / Ausbilung;Realschulabschluss;0;DEU;1;1;1;0;1;1;1;0;Ein Mal pro Woche;1;0;1;1;1;1;0;1;1;1;0
784;f;31;3a;Hessen;Erwerbstätig;Keine Kinder (<18) im Haushalt;1 Person;1000€ bis 2000€;Single / Ledig;Lehre / Ausbilung;Realschulabschluss;0;DEU;1;1;1;0;0;1;1;0;Ein Mal am Tag;0;0;0;0;0;1;1;1;0;0;0
785;m;55;3a;Hessen;in Rente;Min. ein Kind (<18) im Haushalt;3 Personen;3000€ bis 4000€;In einer Beziehung;Lehre / Ausbilung;Realschulabschluss;0;DEU;1;1;0;0;1;1;0;0;Alle 2-3 Wochen;1;0;0;1;1;1;1;1;0;1;0
786;f;20;1;Niedersachsen;SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling);Min. ein Kind (<18) im Haushalt;4 Personen;1000€ bis 2000€;Single / Ledig;Lehre / Ausbilung;Ohne Abschluss;0;DEU;1;1;0;1;1;0;1;0;Ein Mal pro Woche;1;0;0;0;1;1;0;0;1;0;0
787;m;38;6;Sachsen-Anhalt;in Rente;Keine Kinder (<18) im Haushalt;1 Person;<1000€;Single / Ledig;Lehre / Ausbilung;Ohne Abschluss;0;DEU;0;1;0;0;1;0;0;0;-;-;-;-;-;-;-;-;-;-;-;-
788;f;29;6;Sachsen-Anhalt;Erwerbstätig;Min. ein Kind (<18) im Haushalt;3 Personen;2000€ bis 3000€;Verheiratet / eingetragene Partnerschaft;Lehre / Ausbilung;Realschulabschluss;0;DEU;1;0;1;0;1;1;1;0;Alle 2-3 Tage;1;0;1;1;0;0;0;1;0;0;0
789;m;17;4;Bayern;SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling);Keine Kinder (<18) im Haushalt;4 Personen;<1000€;In einer Beziehung;Universitärer Abschluss;Abitur / Fachabitur;1;DEU;0;0;0;0;0;1;0;0;-;-;-;-;-;-;-;-;-;-;-;-
790;m;39;4;Bayern;Erwerbstätig;Min. ein Kind (<18) im Haushalt;4 Personen;4000€ bis 5000€;Verheiratet / eingetragene Partnerschaft;Lehre / Ausbilung;Realschulabschluss;1;DEU;1;1;1;1;1;1;1;0;Alle 2-3 Tage;1;0;0;0;0;1;0;1;0;0;0
791;m;55;6;Sachsen-Anhalt;Erwerbstätig;Keine Kinder (<18) im Haushalt;2 Personen;1000€ bis 2000€;Verheiratet / eingetragene Partnerschaft;Lehre / Ausbilung;Hauptschulabschluss;0;DEU;1;1;0;0;0;1;0;0;Ein Mal pro Woche;1;0;0;0;1;0;0;1;0;1;0
792;f;47;7;Thueringen;Erwerbstätig;Min. ein Kind (<18) im Haushalt;4 Personen;2000€ bis 3000€;Verheiratet / eingetragene Partnerschaft;Universitärer Abschluss;Realschulabschluss;0;DEU;0;0;0;0;1;0;0;0;-;-;-;-;-;-;-;-;-;-;-;-
793;m;20;3a;Rheinland-Pfalz;SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling);Keine Kinder (<18) im Haushalt;4 Personen;>5000€;Single / Ledig;Universitärer Abschluss;Abitur / Fachabitur;0;DEU;1;1;1;0;1;0;1;0;Alle 2-3 Tage;1;0;1;1;1;1;1;1;0;1;0
794;f;26;6;Mecklenburg-Vorpommern;SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling);Keine Kinder (<18) im Haushalt;2 Personen;3000€ bis 4000€;In einer Beziehung;Universitärer Abschluss;Abitur / Fachabitur;1;DEU;1;1;1;0;1;1;1;0;Alle 2-3 Wochen;0;0;0;0;0;1;0;0;0;0;0
795;f;54;2;Nordrhein-Westfalen;Nicht erwerbstätig;Keine Kinder (<18) im Haushalt;2 Personen;1000€ bis 2000€;Single / Ledig;Lehre / Ausbilung;Realschulabschluss;1;DEU;1;1;0;0;1;1;1;0;Alle 2-3 Tage;1;0;0;1;1;0;0;1;0;0;0
796;m;17;2;Nordrhein-Westfalen;Sonstige;Keine Kinder (<18) im Haushalt;3 Personen;>5000€;Single / Ledig;Universitärer Abschluss;Abitur / Fachabitur;1;DEU;1;0;0;0;0;0;0;0;Alle 2-3 Wochen;0;0;1;0;0;0;0;0;0;0;0
797;m;17;1;Niedersachsen;SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling);Min. ein Kind (<18) im Haushalt;4 Personen;2000€ bis 3000€;Single / Ledig;Lehre / Ausbilung;Realschulabschluss;0;DEU;1;0;1;0;1;1;1;0;Mehrmals am Tag;1;0;0;1;0;0;0;1;0;0;0
798;m;39;7;Thueringen;Erwerbstätig;Keine Kinder (<18) im Haushalt;1 Person;2000€ bis 3000€;In einer Beziehung;Universitärer Abschluss;Realschulabschluss;0;DEU;1;1;1;0;1;1;0;0;Alle 2-3 Wochen;1;0;1;1;0;1;0;1;0;0;0
799;m;36;2;Nordrhein-Westfalen;Erwerbstätig;Keine Kinder (<18) im Haushalt;3 Personen;3000€ bis 4000€;In einer Beziehung;Universitärer Abschluss;Abitur / Fachabitur;1;DEU;1;1;0;1;0;0;1;0;Ein Mal pro Woche;0;0;0;0;0;1;0;0;0;0;0
800;f;61;4;Bayern;Erwerbstätig;Keine Kinder (<18) im Haushalt;2 Personen;3000€ bis 4000€;Verheiratet / eingetragene Partnerschaft;Lehre / Ausbilung;Hauptschulabschluss;1;DEU;1;1;1;1;1;1;1;0;Alle 2-3 Tage;1;1;0;0;1;0;0;1;0;1;0
801;m;59;1;Niedersachsen;Erwerbstätig;Keine Kinder (<18) im Haushalt;2 Personen;>5000€;Verheiratet / eingetragene Partnerschaft;Lehre / Ausbilung;Realschulabschluss;0;DEU;1;1;1;1;1;1;1;0;Alle 2-3 Wochen;1;0;1;1;1;1;0;0;1;1;0
802;m;42;3a;Hessen;Nicht erwerbstätig;Keine Kinder (<18) im Haushalt;2 Personen;1000€ bis 2000€;In einer Beziehung;(Noch) kein Abschluss;Ohne Abschluss;0;DEU;0;0;0;0;1;0;0;0;-;-;-;-;-;-;-;-;-;-;-;-
803;f;33;3b;Baden-Wuerttemberg;Erwerbstätig;Min. ein Kind (<18) im Haushalt;3 Personen;2000€ bis 3000€;Verheiratet / eingetragene Partnerschaft;Universitärer Abschluss;Abitur / Fachabitur;1;DEU;1;0;1;1;1;1;1;0;Ein Mal am Tag;0;1;0;1;1;1;0;1;0;1;0
804;f;24;1;Schleswig-Holstein;SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling);Keine Kinder (<18) im Haushalt;2 Personen;1000€ bis 2000€;In einer Beziehung;(Noch) kein Abschluss;Realschulabschluss;0;DEU;1;1;0;1;0;1;1;0;Alle 2-3 Wochen;0;0;1;1;1;1;1;1;1;0;0
805;m;61;4;Bayern;in Rente;Keine Kinder (<18) im Haushalt;3 Personen;3000€ bis 4000€;Verheiratet / eingetragene Partnerschaft;Lehre / Ausbilung;Realschulabschluss;0;DEU;1;1;1;0;1;0;1;0;Alle 2-3 Tage;1;1;1;1;1;1;1;1;1;1;0
806;m;55;3a;Hessen;Erwerbstätig;Min. ein Kind (<18) im Haushalt;4 Personen;>5000€;Verheiratet / eingetragene Partnerschaft;Universitärer Abschluss;Abitur / Fachabitur;0;DEU;0;1;0;0;1;0;1;0;-;-;-;-;-;-;-;-;-;-;-;-
807;f;27;4;Bayern;Erwerbstätig;Min. ein Kind (<18) im Haushalt;Mehr als 4 Personen;3000€ bis 4000€;Verheiratet / eingetragene Partnerschaft;Universitärer Abschluss;Abitur / Fachabitur;1;DEU;1;1;1;1;1;1;1;0;Ein Mal am Tag;1;1;1;1;0;0;0;1;0;0;0
808;m;42;6;Brandenburg;Erwerbstätig;Min. ein Kind (<18) im Haushalt;4 Personen;4000€ bis 5000€;In einer Beziehung;Universitärer Abschluss;Abitur / Fachabitur;0;DEU;1;1;0;0;1;0;1;0;Alle 2-3 Tage;1;0;0;0;1;0;1;1;0;1;0
809;m;59;5;Berlin;Erwerbstätig;Min. ein Kind (<18) im Haushalt;4 Personen;>5000€;Verheiratet / eingetragene Partnerschaft;Universitärer Abschluss;Abitur / Fachabitur;1;DEU;1;1;1;1;0;1;1;0;Alle 2-3 Tage;1;0;1;0;0;1;0;1;0;1;0
810;f;26;1;Hamburg;Erwerbstätig;Keine Kinder (<18) im Haushalt;2 Personen;2000€ bis 3000€;In einer Beziehung;(Noch) kein Abschluss;Realschulabschluss;1;DEU;1;1;1;0;0;1;0;0;Alle 2-3 Wochen;0;0;1;1;0;1;0;0;1;0;0
811;f;47;2;Nordrhein-Westfalen;Nicht erwerbstätig;Keine Kinder (<18) im Haushalt;3 Personen;2000€ bis 3000€;Verheiratet / eingetragene Partnerschaft;Lehre / Ausbilung;Realschulabschluss;0;DEU;0;1;0;0;0;0;0;0;-;-;-;-;-;-;-;-;-;-;-;-
812;f;54;1;Schleswig-Holstein;Erwerbstätig;Keine Kinder (<18) im Haushalt;2 Personen;4000€ bis 5000€;In einer Beziehung;Lehre / Ausbilung;Realschulabschluss;0;DEU;1;1;1;0;1;1;1;0;Ein Mal am Tag;1;0;1;0;1;1;1;0;1;0;0
813;f;61;1;Hamburg;Erwerbstätig;Keine Kinder (<18) im Haushalt;2 Personen;4000€ bis 5000€;Verheiratet / eingetragene Partnerschaft;Lehre / Ausbilung;Realschulabschluss;1;DEU;1;1;1;0;1;0;1;0;Ein Mal pro Woche;1;1;0;0;1;1;1;1;1;1;0
814;m;46;3a;Saarland;Erwerbstätig;Min. ein Kind (<18) im Haushalt;4 Personen;4000€ bis 5000€;Verheiratet / eingetragene Partnerschaft;Lehre / Ausbilung;Abitur / Fachabitur;0;DEU;0;1;1;0;1;0;0;0;-;-;-;-;-;-;-;-;-;-;-;-
815;f;31;1;Hamburg;Erwerbstätig;Keine Kinder (<18) im Haushalt;1 Person;2000€ bis 3000€;Single / Ledig;Universitärer Abschluss;Abitur / Fachabitur;1;DEU;1;1;1;0;1;0;1;0;Alle 2-3 Wochen;0;0;0;0;0;0;0;1;0;0;0
816;m;54;2;Nordrhein-Westfalen;Erwerbstätig;Min. ein Kind (<18) im Haushalt;4 Personen;>5000€;Verheiratet / eingetragene Partnerschaft;Lehre / Ausbilung;Realschulabschluss;0;DEU;1;0;0;1;0;0;1;0;Alle 2-3 Tage;1;0;1;1;0;0;0;1;1;0;0
